publication_title,plant_family,plant_genus,plant_species,plant_growth_form,plant_life_history,plant_geographic_source,insect_order,insect_family,insect_genus,insect_species,insect_sex,poly_or_mono,insect_geographic_source,insect_life_stage,study_design,paper_source,plant_status,insect_status,biocontrol_study,study_type,notes,plant_genus_species,insect_genus_species,response_measure,plant_organ_afflicted,response_type_or_metric,response_units,response_measure,error_type,response_c,error_c,n_c,response_t,error_t,n_t,hedges_d,var_hedges_d
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,length,stem,length,m,x,sd,0.99029,0.098853528,8,0.84272,0.142779001,8,-1.136196497,0.290341952
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 2,invasive,introduced,yes,d,20 eggs. 3rd location,lythrum_salicaria,galerucella_calmariensis,biomass,leaves,mass,g,x,sd,7.647,0.186574382,10,6.824,0.556560868,10,-1.899007437,0.290155731
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,length,stem,length,m,x,sd,0.45,0.086917566,8,0.36658,0.068306515,8,-1.008979538,0.281813741
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,biomass,stem,mass,g,x,sd,3.647,0.794788022,8,3.021,0.574170706,8,-0.853663988,0.272773194
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,length,stem,length,m,x,sd,0.85825,0.098853528,8,0.81942,0.065902352,8,-0.436999004,0.255967754
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,biomass,stem,mass,g,x,sd,11.981,5.934040108,8,9.463,12.75903476,8,-0.23926128,0.251788936
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,biomass,stem,mass,g,x,sd,13.519,12.26406001,8,10.792,9.594024807,8,-0.234167961,0.251713582
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,number of,flower,count,count,x,sd,286.916,177.1047928,8,243.925,266.9808932,8,-0.179417376,0.251005956
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,length,stem,length,m,x,sd,0.80777,0.263609408,8,0.79223,0.318537463,8,-0.050253284,0.250078919
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,number of,flower,count,count,x,sd,355.14,425.5849442,8,370.093,177.1076213,8,0.043372563,0.250058787
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 2,invasive,introduced,yes,d,30 eggs. 2nd location,lythrum_salicaria,galerucella_calmariensis,biomass,stem,mass,g,x,sd,10.283,2.501361629,10,7.236,4.819311154,10,-0.760073073,0.214442777
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 2,invasive,introduced,yes,d,30 eggs. 2nd location,lythrum_salicaria,galerucella_calmariensis,biomass,whole organism,mass,g,x,sd,34.211,10.26159101,10,23.772,16.64306733,10,-0.723147499,0.213073558
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 2,invasive,introduced,yes,d,10 eggs. 2nd location,lythrum_salicaria,galerucella_calmariensis,biomass,stem,mass,g,x,sd,10.283,2.501361629,10,8.174,3.333040654,10,-0.685476575,0.211746953
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 2,invasive,introduced,yes,d,30 eggs,lythrum_salicaria,galerucella_calmariensis,biomass,roots,mass,g,x,sd,13.711,7.042392349,10,9.258,6.485831481,10,-0.629977808,0.209921801
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 2,invasive,introduced,yes,d,20 eggs. 2nd location,lythrum_salicaria,galerucella_calmariensis,biomass,stem,mass,g,x,sd,10.283,2.501361629,10,7.588,5.281003692,10,-0.624677152,0.209755539
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 1,invasive,introduced,yes,d,30 eggs. 3rd location,lythrum_salicaria,galerucella_calmariensis,length,stem,length,m,x,sd,0.50328,0.113114672,10,0.41386,0.162604317,10,-0.611452724,0.209346861
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 1,invasive,introduced,yes,d,10 eggs. 2nd location,lythrum_salicaria,galerucella_calmariensis,length,stem,length,m,x,sd,0.56587,0.131297768,10,0.49945,0.066660813,10,-0.610951973,0.209331558
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 1,invasive,introduced,yes,d,30 eggs. 2nd location,lythrum_salicaria,galerucella_calmariensis,length,stem,length,m,x,sd,0.56587,0.131297768,10,0.48284,0.135313861,10,-0.596468127,0.208894356
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 2,invasive,introduced,yes,d,30 eggs. 2nd location,lythrum_salicaria,galerucella_calmariensis,biomass,roots,mass,g,x,sd,11.895,8.89232478,10,7.207,5.929270613,10,-0.594105627,0.208824037
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 2,invasive,introduced,yes,d,20 eggs. 2nd location,lythrum_salicaria,galerucella_calmariensis,biomass,whole organism,mass,g,x,sd,34.211,10.26159101,10,24.912,20.25122614,10,-0.55478457,0.207694648
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 2,invasive,introduced,yes,d,30 eggs. 3rd location,lythrum_salicaria,galerucella_calmariensis,biomass,leaves,mass,g,x,sd,7.647,0.186574382,10,6.235,3.532264146,10,-0.540682231,0.207308432
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 1,invasive,introduced,yes,d,20 eggs. 3rd location,lythrum_salicaria,galerucella_calmariensis,length,stem,length,m,x,sd,0.50328,0.113114672,10,0.44197,0.110078885,10,-0.526126349,0.206920223
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 1,invasive,introduced,yes,d,20 eggs. 2nd location,lythrum_salicaria,galerucella_calmariensis,length,stem,length,m,x,sd,0.56587,0.131297768,10,0.49306,0.135313861,10,-0.523050034,0.206839533
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 1,invasive,introduced,yes,d,30 eggs,lythrum_salicaria,galerucella_calmariensis,length,stem,length,m,x,sd,0.49306,0.094931575,10,0.42664,0.183791578,10,-0.434897037,0.204728386
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 2,invasive,introduced,yes,d,30 eggs,lythrum_salicaria,galerucella_calmariensis,biomass,whole organism,mass,g,x,sd,30.965,13.31635123,10,25.263,13.03807079,10,-0.414409847,0.204293388
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 1,invasive,introduced,yes,d,20 eggs,lythrum_salicaria,galerucella_calmariensis,length,stem,length,m,x,sd,0.49306,0.094931575,10,0.4573,0.074724621,10,-0.40091243,0.204018269
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 2,invasive,introduced,yes,d,20 eggs. 3rd location,lythrum_salicaria,galerucella_calmariensis,biomass,whole organism,mass,g,x,sd,23.772,11.6498309,10,19.825,11.6498309,10,-0.324487573,0.202632305
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 2,invasive,introduced,yes,d,20 eggs. 2nd location,lythrum_salicaria,galerucella_calmariensis,biomass,leaves,mass,g,x,sd,11.235,14.69510429,10,7.883,0.369986486,10,-0.308858311,0.202384836
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 2,invasive,introduced,yes,d,20 eggs. 2nd location,lythrum_salicaria,galerucella_calmariensis,biomass,roots,mass,g,x,sd,11.895,8.89232478,10,9.082,9.078899162,10,-0.299812152,0.202247183
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 2,invasive,introduced,yes,d,20 eggs,lythrum_salicaria,galerucella_calmariensis,biomass,whole organism,mass,g,x,sd,30.965,13.31635123,10,26.491,15.53627014,10,-0.296148539,0.202192599
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 2,invasive,introduced,yes,d,30 eggs. 3rd location,lythrum_salicaria,galerucella_calmariensis,biomass,whole organism,mass,g,x,sd,23.772,11.6498309,10,19.298,16.92134776,10,-0.294970983,0.202175197
performance of galerucella calmariensis (coleoptera: chrysomelidae) on different north american populations of purple loosestrife,lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,unclear,monophagous,europe and asia,larval,cage,fig 2,invasive,introduced,yes,d,20 eggs. 3rd location,lythrum_salicaria,galerucella_calmariensis,biomass,roots,mass,g,x,sd,9.551,7.042392349,10,7.442,6.669243585,10,-0.294514788,0.202168474
